Year;Economic Activity;Type of Fixed Assets;Purchases in Thousands SR
2009;Agriculture and hunting and related service activities;Land and Buildings;84909.0
2009;Agriculture and hunting and related service activities;Total;186676.0
2009;Fishing;Land and Buildings;149.0
2009;Exploration of oil and natural gas;Other assets;19736.0
2009;Exploration of oil and natural gas;Land and Buildings;2803813.0
2009;Mining of metal ores;Land and Buildings;1608.0
2009;Mining of metal ores;Transportation Equipment;26.0
2009;Activities for mining and quarrying;Other assets;14638.0
2009;Activities for mining and quarrying;Furniture;14343.0
2009;Manufacture of food prod. and beverages;Other Equipment;1487157.0
2009;Manufacturing of apparel, preparing & tanning fur;Land and Buildings;3453.0
2009;Manufacturing of apparel, preparing & tanning fur;Transportation Equipment;6870.0
2009;Manufacturing of apparel, preparing & tanning fur;Furniture;7805.0
2009;Manufacture of  non-metallic mineral products;Total;5894344.0
2009;Collection, purification and distribution of water;Other Equipment;9230.0
2009;Construction;Other assets;275618.0
2009;Construction;Furniture;290883.0
2009;Wholesale trade and commission trade;Other assets;183579.0
2009;Wholesale trade and commission trade;Transportation Equipment;3280552.0
2009;Retail trade and repair of personal and household goods;Other Equipment;338203.0
2009;Hotels and restaurants;Other assets;68020.0
2009;Water transport;Transportation Equipment;2.0
2009;Water transport;Total;2.0
2009;Air transport;Other assets;337033.0
2009;Air transport;Furniture;643209.0
2009;"Supporting and auxiliary transport activities; activities of travel agencies";Transportation Equipment;17875.0
2009;"Supporting and auxiliary transport activities; activities of travel agencies";Total;271751.0
2009;"Supporting and auxiliary transport activities; activities of travel agencies";Furniture;4360.0
2009;Post and telecommunications;Other assets;1673294.0
2009;Post and telecommunications;Transportation Equipment;34050.0
2009;Financial intermediation;Other assets;147711.0
2009;Financial intermediation;Total;2426634.0
2009;Renting of machinery and equipment without operator and of personal and household goods;Other assets;80.0
2009;Renting of machinery and equipment without operator and of personal and household goods;Furniture;832.0
2009;Computer and related activities;Other assets;7054.0
2009;Computer and related activities;Transportation Equipment;5468.0
2009;Education;Transportation Equipment;13798.0
2009;Health and social work;Other Equipment;587170.0
2009;Sewage and refuse disposal and sanitation;Transportation Equipment;69677.0
2009;Activities of membership organizations n.e.c.;Other assets;14525.0
2009;Activities of membership organizations n.e.c.;Total;31168.0
2009;service activities;Total;15047.0
2008;Agriculture and hunting and related service activities;Other assets;12127.0
